source,timestamp_or_frame_number,yolo_count,csrnet_count,overlap_ratio,abs_difference,pct_difference
images,img_1086_jpg.rf.2fbd6d074c252bdafec31856e8b4a681.jpg,28,12.00,0.000,16.00,57.14
images,img_1086_jpg.rf.b39c96ca010e3b251636273ecf2533ff.jpg,26,9.40,0.000,16.60,63.83
images,img_1087_jpg.rf.257dccca2a63a4318fe1bd4022a6e7b9.jpg,45,31.88,0.000,13.12,29.16
images,img_1087_jpg.rf.31adbf3958f0c8a293c86642f9f0e18d.jpg,43,30.81,0.000,12.19,28.34
images,img_108_jpg.rf.127f71f29d9f55e8eded3868fa871363.jpg,18,7.38,0.111,10.62,58.97
images,img_1090_jpg.rf.c5dc2b499cd829c9c2a62d08669c8c51.jpg,57,5.59,0.000,51.41,90.19
images,img_1092_jpg.rf.500dbe3aec1dab5a4af41113991b3039.jpg,39,5.95,0.000,33.05,84.75
images,img_1093_jpg.rf.8fa4953d2dcf507eb8b69dd34f73b307.jpg,89,19.37,0.000,69.63,78.24
images,img_1094_jpg.rf.9727c3f042df425bca7961f03aa1ed78.jpg,48,12.69,0.000,35.31,73.56
images,img_1095_jpg.rf.dcd53581a4faab8b273f740585754914.jpg,103,13.38,0.000,89.62,87.01
images,img_1096_jpg.rf.494feb744c2dcc153d532e3ace4e944b.jpg,51,19.73,0.000,31.27,61.30
images,img_1098_jpg.rf.7d65c72c8812c3a921678976d7477ea0.jpg,13,6.71,0.000,6.29,48.37
images,img_1099_jpg.rf.0d80d1f35db1a7c1d2bd763a2f905c57.jpg,32,18.79,0.062,13.21,41.27
images,img_1099_jpg.rf.a9dda9b034989e23936fdce06d7fa005.jpg,38,12.63,0.000,25.37,66.77
images,img_109_jpg.rf.8fc674a9478f25bad123a9c3aea4f4d4.jpg,212,31.11,0.000,180.89,85.32
images,img_10_jpg.rf.02607ee45ad26495f2d4ab3fe6ffbb01.jpg,31,14.03,0.065,16.97,54.75
images,img_10_jpg.rf.b76efc929f58dbad1bfed622e4ab6dca.jpg,32,8.23,0.000,23.77,74.28
images,img_1100_jpg.rf.0bb34940aae71a0134041565060fc3a0.jpg,109,12.74,0.000,96.26,88.32
images,img_1103_jpg.rf.ccf8b611e4220925fd4ca355c3c620fa.jpg,62,22.55,0.032,39.45,63.63
images,img_1104_jpg.rf.c8d5618417338cece3cc5bede6f5e228.jpg,42,24.64,0.000,17.36,41.34
images,img_1108_jpg.rf.016772dac3bd487706ad740421cde1d5.jpg,102,10.02,0.000,91.98,90.18
images,img_1108_jpg.rf.05a25a98ae29e25245f004b41838afac.jpg,105,14.55,0.000,90.45,86.14
images,img_1108_jpg.rf.743bf075973db9f5b4bfd135f2c225d6.jpg,97,21.45,0.000,75.55,77.88
images,img_110_jpg.rf.5fa19384b0254fbccbbec9ebc4307406.jpg,64,15.29,0.000,48.71,76.10
images,img_1110_jpg.rf.63f2ce275d8fe94f088478f97ea4b445.jpg,29,9.11,0.000,19.89,68.59
images,img_1110_jpg.rf.cc224b51c843ad241a32d959fe4d87fe.jpg,26,9.57,0.000,16.43,63.17
images,img_1112_jpg.rf.6085ae7fc6eb5fe90e952b1c771bd2ef.jpg,70,17.60,0.000,52.40,74.86
images,img_1113_jpg.rf.6e95141c541396f5dceaf2e950f6afc5.jpg,69,20.13,0.000,48.87,70.83
images,img_1113_jpg.rf.dbf92dd3d8ee9beaffe4c81aa7ce353b.jpg,64,8.78,0.000,55.22,86.27
images,img_1115_jpg.rf.475b767416d0db25d3e54a74db7e7e1f.jpg,128,10.60,0.000,117.40,91.72
images,img_1117_jpg.rf.9ee3756e43dfa61ce46b6e98e1934707.jpg,31,12.74,0.000,18.26,58.91
images,img_1118_jpg.rf.0d017ceed2d25b0a5ce5521f3da3f138.jpg,55,9.31,0.000,45.69,83.07
images,img_111_jpg.rf.9d384da191daf58036845dc5aba11a7f.jpg,60,15.50,0.000,44.50,74.16
images,img_1120_jpg.rf.89662d65d4099ac47ddd8d285b698a9d.jpg,48,16.30,0.000,31.70,66.04
images,img_1121_jpg.rf.e6edf97db71b0ecae2bc4893b11cc09f.jpg,15,6.56,0.000,8.44,56.24
images,img_1124_jpg.rf.53f7a66886e96919b28ef45ca8edb476.jpg,22,5.80,0.000,16.20,73.62
images,img_1126_jpg.rf.c38701e089fe263b9fa1724ca8da3e3d.jpg,122,11.71,0.000,110.29,90.40
images,img_1127_jpg.rf.c978f601646e59f79dcfbd89b10c33c5.jpg,300,29.85,0.000,270.15,90.05
images,img_1128_jpg.rf.e643892f5fbf61d8346a8b9c45cba79d.jpg,300,11.33,0.000,288.67,96.22
images,img_1129_jpg.rf.960081cb6ab08a05e2000b848c2c9485.jpg,163,105.47,0.000,57.53,35.29
images,img_1130_jpg.rf.786ef7ba20ea242a6f58eb6bde0a6077.jpg,200,17.62,0.000,182.38,91.19
images,img_1135_jpg.rf.b5922f3659abd9fd4dc7ff65aa452e0d.jpg,43,15.78,0.000,27.22,63.29
images,img_1135_jpg.rf.bc713d435e449f930a2340e2e809c2ca.jpg,40,13.92,0.000,26.08,65.21
images,img_1137_jpg.rf.ca63ecb4d61e21eaa2d6d04ed3aac5b8.jpg,20,4.36,0.000,15.64,78.22
images,img_1138_jpg.rf.17ba05239ecec82e368f5386d7a5805f.jpg,58,12.28,0.000,45.72,78.83
images,img_113_jpg.rf.d7c6d0b55d11fded60a54b61785b9989.jpg,102,29.08,0.000,72.92,71.49
images,img_1140_jpg.rf.2bfafa37f27eac9154872232a4f591a1.jpg,56,6.98,0.000,49.02,87.54
images,img_1140_jpg.rf.bb3926be2515af090b9a1f52305900c5.jpg,71,8.51,0.000,62.49,88.02
images,img_1140_jpg.rf.e7aec5c695ca56a6d2ad09abec94baea.jpg,58,18.64,0.000,39.36,67.86
images,img_1142_jpg.rf.c2d2cf2a58096ce8bb300c7f78df4742.jpg,154,18.52,0.026,135.48,87.98
images,img_1143_jpg.rf.a2b9084ddb5625d962bb03796b7ce02c.jpg,95,27.59,0.021,67.41,70.96
images,img_1144_jpg.rf.17726942202292037d4bde5044c92f66.jpg,28,9.73,0.000,18.27,65.26
images,img_1144_jpg.rf.373f31a930214d57cc7a0776a3e70879.jpg,25,10.38,0.000,14.62,58.47
images,img_1144_jpg.rf.49ac30f4f90c3f24e1b3a0bff2ad978e.jpg,22,4.62,0.000,17.38,79.02
images,img_1148_jpg.rf.3b2eaaa62961ad3c7e5ce98ef35512cf.jpg,229,19.80,0.009,209.20,91.36
images,img_114_jpg.rf.db0671fb6269d055557b0d7b24c4f366.jpg,66,6.93,0.030,59.07,89.50
images,img_1150_jpg.rf.6ea396545a08d427271f254f0c82f6d2.jpg,123,16.41,0.000,106.59,86.66
images,img_1150_jpg.rf.d4edb3e42b8379bf5869cbcff5d37eb1.jpg,130,19.56,0.031,110.44,84.95
images,img_1152_jpg.rf.f9b6b370c8ddc025c58b66e0cc38e38e.jpg,57,12.00,0.000,45.00,78.95
images,img_1153_jpg.rf.16fc357ae04d30c2ecf444cd900e9124.jpg,27,4.93,0.000,22.07,81.74
images,img_1153_jpg.rf.376a124864045cc8b0b7c0c3c1fa21d9.jpg,23,19.88,0.000,3.12,13.56
images,img_1153_jpg.rf.b0d9ceaf5bfee5ad9aa9a6c7b7c4d82e.jpg,30,10.11,0.000,19.89,66.29
images,img_1154_jpg.rf.052e581386d5d59642cca3e9976ca4e2.jpg,21,0.50,0.000,20.50,97.61
