source,timestamp_or_frame_number,yolo_count,yolo_gt_count,yolo_error,csrnet_count,csrnet_gt_count,csrnet_error,overlap_ratio,abs_difference,pct_difference
images,img_10_jpg.rf.02607ee45ad26495f2d4ab3fe6ffbb01.jpg,31,97,66.00,480.56,455,25.56,0.065,449.56,1450.19
images,img_10_jpg.rf.b76efc929f58dbad1bfed622e4ab6dca.jpg,32,96,64.00,480.56,455,25.56,0.000,448.56,1401.75
images,img_1100_jpg.rf.0bb34940aae71a0134041565060fc3a0.jpg,109,288,179.00,81.12,93,11.88,0.000,27.88,25.58
images,img_1103_jpg.rf.ccf8b611e4220925fd4ca355c3c620fa.jpg,62,261,199.00,16.53,23,6.47,0.032,45.47,73.34
images,img_1104_jpg.rf.c8d5618417338cece3cc5bede6f5e228.jpg,42,115,73.00,110.87,161,50.13,0.000,68.87,163.97
images,img_1108_jpg.rf.016772dac3bd487706ad740421cde1d5.jpg,102,513,411.00,278.26,241,37.26,0.000,176.26,172.80
images,img_1108_jpg.rf.05a25a98ae29e25245f004b41838afac.jpg,105,513,408.00,278.26,241,37.26,0.000,173.26,165.01
images,img_1108_jpg.rf.743bf075973db9f5b4bfd135f2c225d6.jpg,97,512,415.00,278.26,241,37.26,0.000,181.26,186.86
images,img_110_jpg.rf.5fa19384b0254fbccbbec9ebc4307406.jpg,64,75,11.00,186.30,184,2.30,0.000,122.30,191.10
images,img_1110_jpg.rf.63f2ce275d8fe94f088478f97ea4b445.jpg,29,43,14.00,61.38,59,2.38,0.000,32.38,111.66
images,img_1110_jpg.rf.cc224b51c843ad241a32d959fe4d87fe.jpg,26,43,17.00,61.38,59,2.38,0.000,35.38,136.08
images,img_1112_jpg.rf.6085ae7fc6eb5fe90e952b1c771bd2ef.jpg,70,117,47.00,388.04,440,51.96,0.000,318.04,454.34
images,img_1113_jpg.rf.6e95141c541396f5dceaf2e950f6afc5.jpg,69,167,98.00,29.82,31,1.18,0.000,39.18,56.78
images,img_1113_jpg.rf.dbf92dd3d8ee9beaffe4c81aa7ce353b.jpg,64,167,103.00,29.82,31,1.18,0.000,34.18,53.40
images,img_1115_jpg.rf.475b767416d0db25d3e54a74db7e7e1f.jpg,128,343,215.00,39.29,46,6.71,0.000,88.71,69.31
images,img_1117_jpg.rf.9ee3756e43dfa61ce46b6e98e1934707.jpg,31,123,92.00,205.07,278,72.93,0.000,174.07,561.51
images,img_1118_jpg.rf.0d017ceed2d25b0a5ce5521f3da3f138.jpg,55,138,83.00,896.82,864,32.82,0.000,841.82,1530.59
images,img_111_jpg.rf.9d384da191daf58036845dc5aba11a7f.jpg,60,119,59.00,59.64,90,30.36,0.000,0.36,0.59
images,img_1120_jpg.rf.89662d65d4099ac47ddd8d285b698a9d.jpg,48,141,93.00,88.58,92,3.42,0.000,40.58,84.55
images,img_1121_jpg.rf.e6edf97db71b0ecae2bc4893b11cc09f.jpg,15,53,38.00,95.07,97,1.93,0.000,80.07,533.79
images,img_1124_jpg.rf.53f7a66886e96919b28ef45ca8edb476.jpg,22,213,191.00,47.03,37,10.03,0.000,25.03,113.78
images,img_1126_jpg.rf.c38701e089fe263b9fa1724ca8da3e3d.jpg,122,198,76.00,14.10,14,0.10,0.000,107.90,88.44
images,img_1127_jpg.rf.c978f601646e59f79dcfbd89b10c33c5.jpg,300,468,168.00,199.82,155,44.82,0.000,100.18,33.39
images,img_1128_jpg.rf.e643892f5fbf61d8346a8b9c45cba79d.jpg,300,538,238.00,77.26,74,3.26,0.000,222.74,74.25
images,img_1129_jpg.rf.960081cb6ab08a05e2000b848c2c9485.jpg,163,233,70.00,54.66,51,3.66,0.000,108.34,66.47
images,img_1130_jpg.rf.786ef7ba20ea242a6f58eb6bde0a6077.jpg,200,261,61.00,211.94,235,23.06,0.000,11.94,5.97
images,img_1135_jpg.rf.b5922f3659abd9fd4dc7ff65aa452e0d.jpg,43,77,34.00,1405.11,5258,3852.89,0.000,1362.11,3167.69
images,img_1135_jpg.rf.bc713d435e449f930a2340e2e809c2ca.jpg,40,78,38.00,1405.11,5258,3852.89,0.000,1365.11,3412.77
images,img_1137_jpg.rf.ca63ecb4d61e21eaa2d6d04ed3aac5b8.jpg,20,95,75.00,27.95,29,1.05,0.000,7.95,39.75
images,img_1138_jpg.rf.17ba05239ecec82e368f5386d7a5805f.jpg,58,58,0.00,300.44,323,22.56,0.000,242.44,418.00
images,img_113_jpg.rf.d7c6d0b55d11fded60a54b61785b9989.jpg,102,227,125.00,32.32,43,10.68,0.000,69.68,68.31
images,img_1140_jpg.rf.2bfafa37f27eac9154872232a4f591a1.jpg,56,158,102.00,91.61,61,30.61,0.000,35.61,63.59
images,img_1140_jpg.rf.bb3926be2515af090b9a1f52305900c5.jpg,71,158,87.00,91.61,61,30.61,0.000,20.61,29.03
images,img_1140_jpg.rf.e7aec5c695ca56a6d2ad09abec94baea.jpg,58,158,100.00,91.61,61,30.61,0.000,33.61,57.95
images,img_1142_jpg.rf.c2d2cf2a58096ce8bb300c7f78df4742.jpg,154,188,34.00,96.46,110,13.54,0.026,57.54,37.37
images,img_1143_jpg.rf.a2b9084ddb5625d962bb03796b7ce02c.jpg,95,124,29.00,34.07,47,12.93,0.021,60.93,64.14
images,img_1144_jpg.rf.17726942202292037d4bde5044c92f66.jpg,28,33,5.00,1998.27,3669,1670.73,0.000,1970.27,7036.69
images,img_1144_jpg.rf.373f31a930214d57cc7a0776a3e70879.jpg,25,33,8.00,1998.27,3669,1670.73,0.000,1973.27,7893.09
images,img_1144_jpg.rf.49ac30f4f90c3f24e1b3a0bff2ad978e.jpg,22,33,11.00,1998.27,3669,1670.73,0.000,1976.27,8983.06
images,img_1148_jpg.rf.3b2eaaa62961ad3c7e5ce98ef35512cf.jpg,229,257,28.00,433.01,279,154.01,0.009,204.01,89.09
images,img_114_jpg.rf.db0671fb6269d055557b0d7b24c4f366.jpg,66,99,33.00,213.77,191,22.77,0.030,147.77,223.89
images,img_1150_jpg.rf.6ea396545a08d427271f254f0c82f6d2.jpg,123,265,142.00,159.04,116,43.04,0.000,36.04,29.30
images,img_1150_jpg.rf.d4edb3e42b8379bf5869cbcff5d37eb1.jpg,130,266,136.00,159.04,116,43.04,0.031,29.04,22.34
images,img_1152_jpg.rf.f9b6b370c8ddc025c58b66e0cc38e38e.jpg,57,712,655.00,63.65,56,7.65,0.000,6.65,11.67
images,img_1153_jpg.rf.16fc357ae04d30c2ecf444cd900e9124.jpg,27,62,35.00,265.32,324,58.68,0.000,238.32,882.67
images,img_1153_jpg.rf.376a124864045cc8b0b7c0c3c1fa21d9.jpg,23,62,39.00,265.32,324,58.68,0.000,242.32,1053.57
images,img_1153_jpg.rf.b0d9ceaf5bfee5ad9aa9a6c7b7c4d82e.jpg,30,62,32.00,265.32,324,58.68,0.000,235.32,784.40
images,img_1154_jpg.rf.052e581386d5d59642cca3e9976ca4e2.jpg,21,25,4.00,436.76,474,37.24,0.000,415.76,1979.82
